Year,"Utilities, Transportation, Information & Communication","Wholesale and Retail, Food and Beverage and Accommodation","Finance and Insurance, Real Estate and Business Service",Government Service,Other Service,Tourism,Total (RM million)
2010,6026,7638,5445,4488,2380,670,25977
2011,6390,8185,5826,4955,2543,610,27899
2012,6723,8541,6255,5471,2651,790,29641
2013,7103,8911,6547,5931,2782,950,31274
2014,7552,9612,6811,6298,2880,1060,33153
2015,8335,11845,7540,7185,3465,960,38370
2016,9144,12729,7924,7568,3617,840,40982
2017,9806,13578,8426,7964,3768,859,43542
2018,10415,14640,8960,8370,3928,,46313
2019,11027,15589,9367,8683,4103,,48769
2020,9955,14157,9056,9064,3802,,46034
